R18,164.29,17.95,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R19,201.69,-28.06,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,196.94,13.72,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R20,204.89,-28.07,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R21,61.21,74.52,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R22,134.61,18.81,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R23,200.21,-28.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R24,132.21,15.09,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R25,130.21,29.78,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R26,135.21,28.47,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,196.96,15.08,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,148.87,-11.42,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,177.28,19.58,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,163.12,-6.42,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,168.05,16.48,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,139.20,-19.42,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,142.44,-17.42,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,138.76,-21.61,0.00,,SJ
TP1,114.21,67.17,0.00,TPTP20R,TP20R
TP10,119.21,58.45,0.00,TPTP20R,TP20R
TP11,187.21,25.37,0.00,TPTP20R,TP20R
TP12,109.21,67.29,0.00,TPTP20R,TP20R
TP13,124.21,58.21,0.00,TPTP20R,TP20R
TP14,53.21,9.13,0.00,TPTP20R,TP20R
TP15,77.21,42.05,0.00,TPTP20R,TP20R
TP16,85.21,11.97,0.00,TPTP20R,TP20R
TP17,142.21,-31.11,0.00,TPTP20R,TP20R
TP18,68.21,-23.19,0.00,TPTP20R,TP20R
TP2,120.21,67.09,0.00,TPTP20R,TP20R
TP3,187.21,31.01,0.00,TPTP20R,TP20R
TP4,74.21,-15.07,0.00,TPTP20R,TP20R
TP5,74.21,-23.15,0.00,TPTP20R,TP20R
TP6,82.21,-23.23,0.00,TPTP20R,TP20R
TP7,111.21,57.69,0.00,TPTP20R,TP20R
TP9,68.11,-15.07,0.00,TPTP20R,TP20R
U$1,64.86,74.87,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$2,89.76,74.74,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$3,100.86,74.68,180.00,BUTTON_CUSYOMV1,MYBUTTON
U1,61.05,28.24,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,172.88,17.34,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U3,202.26,-21.43,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U4,181.26,17.84,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,127.10,22.92,270.00,DS3231SN#,SOIC127P1032X265-16N
U6,81.59,28.28,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
